name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time,z3 command
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AlternDiv.c.smt2,TRUE,501,TRUE,1224,TRUE,501,./PolyHorn experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-base/mathsat/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,TRUE,394,TRUE,655,TRUE,394,./PolyHorn experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,TRUE,9560,TRUE,1987,TRUE,1987,./PolyHorn experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-h2/z3/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,TRUE,1977,TRUE,836,TRUE,836,./PolyHorn experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-h12/z3/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,TRUE,82,z3 experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2
AlternDivWide.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AlternDivWidening.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
AlternKonv.c.smt2,TRUE,37585,TRUE,5041,TRUE,5041,./PolyHorn experiments/benchmarks/RevTerm/best_config/AlternKonv.c.smt2 experiments/configs-base/z3/benchmarks/RevTerm/best_config/AlternKonv.c.smt2.json,TRUE,4873,FALSE,,TRUE,4873,./PolyHorn experiments/benchmarks/RevTerm/best_config/AlternKonv.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/AlternKonv.c.smt2.json,FALSE,,TRUE,20898,TRUE,20898,./PolyHorn experiments/benchmarks/RevTerm/all/AlternKonv.c.smt2 experiments/configs-h2/z3/benchmarks/RevTerm/all/AlternKonv.c.smt2.json,TRUE,247461,FALSE,,FALSE,,,FALSE,,
Avery-FLOPS2006-Table1_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
Bangalore_false-termination.c.smt2,TRUE,1407,TRUE,1010,TRUE,1010,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2 experiments/configs-base/z3/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2.json,TRUE,382,TRUE,2523,TRUE,382,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2.json,TRUE,1494,TRUE,767,TRUE,767,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2 experiments/configs-h2/z3/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2.json,TRUE,494,TRUE,692,TRUE,494,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/RevTerm/best_config/Bangalore_false-termination.c.smt2.json,FALSE,,
Bangalore_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
Bangalore_v2_false-termination.c.smt2,TRUE,2314,TRUE,1128,TRUE,1128,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2 experiments/configs-base/z3/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2.json,TRUE,388,TRUE,587,TRUE,388,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2.json,TRUE,891,TRUE,978,TRUE,891,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2 experiments/configs-h2/mathsat/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2.json,TRUE,469,TRUE,1341,TRUE,469,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/RevTerm/best_config/Bangalore_v2_false-termination.c.smt2.json,FALSE,,
