name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time
svcomp_b.02.c.smt2,FALSE,,TRUE,563,TRUE,563,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.02.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.02.c.smt2.json,TRUE,459,TRUE,15659,TRUE,459,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.02.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.02.c.smt2.json,TRUE,710,TRUE,783,TRUE,710,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.02.c.smt2 experiments/configs-h2/mathsat/benchmarks/Termination/linear/svcomp_b.02.c.smt2.json,TRUE,537,TRUE,700,TRUE,537,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.02.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.02.c.smt2.json,FALSE,
svcomp_b.03_assume.c.smt2,FALSE,,TRUE,473,TRUE,473,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2.json,TRUE,382,TRUE,419,TRUE,382,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2.json,FALSE,,TRUE,856,TRUE,856,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2.json,TRUE,484,TRUE,844,TRUE,484,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.03_assume.c.smt2.json,TRUE,1334
svcomp_b.03-no-inv_assume.c.smt2,FALSE,,TRUE,578,TRUE,578,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2.json,TRUE,440,TRUE,431,TRUE,431,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2.json,TRUE,1885,TRUE,1029,TRUE,1029,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2.json,TRUE,537,TRUE,657,TRUE,537,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.03-no-inv_assume.c.smt2.json,FALSE,
svcomp_b.04.c.smt2,FALSE,,TRUE,505,TRUE,505,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.04.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.04.c.smt2.json,TRUE,383,TRUE,411,TRUE,383,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.04.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.04.c.smt2.json,FALSE,,TRUE,735,TRUE,735,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.04.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_b.04.c.smt2.json,TRUE,469,TRUE,525,TRUE,469,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.04.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.04.c.smt2.json,FALSE,
svcomp_b.06.c.smt2,TRUE,727,TRUE,759,TRUE,727,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.06.c.smt2 experiments/configs-base/mathsat/benchmarks/Termination/linear/svcomp_b.06.c.smt2.json,TRUE,470,TRUE,518,TRUE,470,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.06.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.06.c.smt2.json,TRUE,807,TRUE,919,TRUE,807,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.06.c.smt2 experiments/configs-h2/mathsat/benchmarks/Termination/linear/svcomp_b.06.c.smt2.json,TRUE,501,TRUE,616,TRUE,501,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.06.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.06.c.smt2.json,FALSE,
svcomp_b.07.c.smt2,FALSE,,TRUE,817,TRUE,817,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.07.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.07.c.smt2.json,TRUE,609,TRUE,742,TRUE,609,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.07.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.07.c.smt2.json,TRUE,1134,TRUE,1071,TRUE,1071,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.07.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_b.07.c.smt2.json,TRUE,678,TRUE,711,TRUE,678,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.07.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.07.c.smt2.json,FALSE,
svcomp_b.09_assume.c.smt2,FALSE,,TRUE,743,TRUE,743,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.09_assume.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.09_assume.c.smt2.json,TRUE,599,TRUE,558,TRUE,558,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.09_assume.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/svcomp_b.09_assume.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,714,TRUE,774,TRUE,714,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.09_assume.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.09_assume.c.smt2.json,FALSE,
svcomp_b.09-no-inv_assume.c.smt2,FALSE,,TRUE,1091,TRUE,1091,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.09-no-inv_assume.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.09-no-inv_assume.c.smt2.json,TRUE,1361,TRUE,5756,TRUE,1361,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.09-no-inv_assume.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.09-no-inv_assume.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,7022,TRUE,2525,TRUE,2525,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.09-no-inv_assume.c.smt2 experiments/configs-h12/z3/benchmarks/Termination/linear/svcomp_b.09-no-inv_assume.c.smt2.json,FALSE,
svcomp_b.10.c.smt2,TRUE,935,TRUE,729,TRUE,729,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.10.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.10.c.smt2.json,TRUE,523,TRUE,527,TRUE,523,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.10.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.10.c.smt2.json,TRUE,12895,TRUE,1677,TRUE,1677,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.10.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_b.10.c.smt2.json,TRUE,627,TRUE,1254,TRUE,627,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.10.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.10.c.smt2.json,FALSE,
svcomp_b.11.c.smt2,FALSE,,TRUE,812,TRUE,812,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.11.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.11.c.smt2.json,TRUE,614,TRUE,742,TRUE,614,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.11.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.11.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,733,TRUE,7204,TRUE,733,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.11.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.11.c.smt2.json,FALSE,
